age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount
75,Female,Single,High School,131685.53,10973.79,Unemployed,0.4,677,500
43,Female,Married,Bachelor's,43706.81,3642.23,Employed,0.191,710,30605.55
44,Male,Married,High School,37767.95,3147.33,Employed,0.205,730,15727.55
57,Other,Single,Bachelor's,55952.16,4662.68,Unemployed,0.307,522,22775.29
55,Male,Single,Bachelor's,31790.41,2649.2,Unemployed,0.097,729,9133.98
64,Male,Single,High School,41889.24,3490.77,Employed,0.07,575,13429.31
60,Female,Married,High School,21970.6,1830.88,Student,0.13,669,17696.95
42,Male,Married,High School,25006.4,2083.87,Employed,0.209,666,13980.08
47,Male,Married,High School,20987.88,1748.99,Employed,0.067,533,10636.93
55,Male,Single,Bachelor's,45897.46,3824.79,Employed,0.206,810,14204
21,Male,Married,Master's,24364.09,2030.34,Employed,0.046,633,7313.37
55,Male,Married,High School,57979.19,4831.6,Employed,0.261,629,13254.56
57,Male,Single,High School,21604.71,1800.39,Unemployed,0.01,850,3523.01
67,Male,Single,Bachelor's,20329.27,1694.11,Unemployed,0.124,556,11670.94
34,Other,Single,Bachelor's,41903.6,3491.97,Employed,0.018,673,13321.75
23,Other,Married,Master's,39463.41,3288.62,Retired,0.071,702,14200.63
21,Male,Married,Other,60728.46,5060.7,Retired,0.296,674,9172.36
25,Female,Married,Bachelor's,17864.88,1488.74,Employed,0.204,575,7827.92
46,Male,Married,High School,14428.05,1202.34,Unemployed,0.247,630,13289.06
75,Male,Single,High School,75333.37,6277.78,Employed,0.158,702,14285.8
34,Male,Married,High School,16113.74,1342.81,Employed,0.19,745,15574.09
59,Female,Single,Master's,59746.5,4978.88,Self-employed,0.082,788,14432.59
47,Female,Married,Bachelor's,8857.53,738.13,Employed,0.173,673,11581.36
29,Male,Single,High School,51061.39,4255.12,Employed,0.116,740,9598.11
35,Male,Single,Master's,36071.68,3005.97,Employed,0.274,751,24719.93
35,Male,Married,Master's,46298.12,3858.18,Unemployed,0.096,762,26749.81
46,Female,Single,PhD,57551.55,4795.96,Employed,0.196,673,15596.14
62,Female,Married,High School,64111.05,5342.59,Employed,0.107,703,17774.27
33,Male,Widowed,High School,48002.32,4000.19,Retired,0.189,708,25727.88
71,Female,Married,High School,59933.22,4994.44,Retired,0.174,708,8470.53
52,Male,Single,Bachelor's,71240.27,5936.69,Employed,0.123,760,5661.45
59,Female,Single,Bachelor's,78010.05,6500.84,Employed,0.33,673,7537.98
69,Female,Married,Master's,49570.48,4130.87,Employed,0.183,709,35531.62
72,Male,Single,High School,20571.32,1714.28,Self-employed,0.082,700,15518.16
52,Female,Married,Bachelor's,31233.01,2602.75,Retired,0.029,592,12562.86
24,Female,Married,Master's,34216.61,2851.38,Employed,0.034,673,27535.96
50,Male,Married,High School,24152.12,2012.68,Employed,0.046,734,32697.14
57,Male,Married,High School,18255.3,1521.28,Self-employed,0.068,702,8302.32
43,Female,Single,Bachelor's,63267.93,5272.33,Self-employed,0.364,580,2853.44
59,Male,Married,Master's,43485,3623.75,Employed,0.1,721,13430.74
65,Male,Married,Other,24312.14,2026.01,Employed,0.09,721,8580.05
35,Male,Single,Master's,37146.25,3095.52,Employed,0.151,704,15169.04
63,Female,Single,Master's,43498.39,3624.87,Self-employed,0.084,776,33826.74
49,Female,Married,Bachelor's,18176.02,1514.67,Employed,0.126,751,16153.24
56,Female,Married,High School,22494.34,1874.53,Employed,0.117,641,7308.52
33,Female,Married,Master's,30079.2,2506.6,Employed,0.051,730,1584.44
52,Male,Married,Other,33092.38,2757.7,Student,0.106,768,9876.9
27,Female,Married,Bachelor's,13945.69,1162.14,Employed,0.267,672,13767.29
71,Female,Married,Bachelor's,56815.53,4734.63,Employed,0.246,755,1622.55
42,Male,Married,Bachelor's,37001.92,3083.49,Employed,0.108,699,5730.12
48,Male,Single,Other,31288.83,2607.4,Employed,0.237,601,500
22,Male,Single,High School,23650.29,1970.86,Employed,0.279,580,21619.27
62,Female,Married,Master's,19772.06,1647.67,Employed,0.107,644,15876.01
65,Female,Married,Master's,36662.51,3055.21,Employed,0.256,611,24443.55
73,Female,Single,Master's,39917.29,3326.44,Unemployed,0.197,839,500
26,Other,Married,Bachelor's,118391.5,9865.96,Employed,0.228,714,16994.57
48,Male,Single,Other,124949.42,10412.45,Self-employed,0.277,611,14893.19
48,Female,Single,High School,26356.3,2196.36,Retired,0.084,729,500
64,Female,Married,High School,20430.19,1702.52,Employed,0.07,596,11047.84
64,Male,Single,Bachelor's,16989.44,1415.79,Student,0.082,601,15467.16
40,Female,Married,High School,38279.19,3189.93,Employed,0.093,775,6153.63
50,Male,Divorced,Bachelor's,17177.12,1431.43,Employed,0.279,570,500
31,Female,Divorced,High School,15871.83,1322.65,Unemployed,0.091,714,23343.33
75,Female,Single,Master's,23373.61,1947.8,Employed,0.201,627,3728.03
48,Female,Married,Bachelor's,25188.16,2099.01,Employed,0.059,675,32588.93
45,Female,Divorced,Master's,23290.47,1940.87,Employed,0.282,624,7666.46
59,Male,Single,High School,13759.26,1146.6,Unemployed,0.252,588,28644.58
53,Female,Single,High School,34386.77,2865.56,Employed,0.083,554,16725.89
21,Male,Divorced,High School,34017.49,2834.79,Employed,0.06,768,24609.93
47,Female,Single,High School,81034.65,6752.89,Employed,0.071,843,33152.69
72,Female,Divorced,High School,17235.84,1436.32,Employed,0.317,774,10218.95
33,Female,Married,High School,49807.86,4150.66,Employed,0.415,761,25042.35
61,Male,Single,Bachelor's,105972.08,8831.01,Employed,0.22,646,8500.7
23,Female,Single,High School,15154.65,1262.89,Employed,0.564,713,26282.16
59,Female,Single,Bachelor's,18877.33,1573.11,Retired,0.372,575,16256.55
26,Female,Single,High School,17072.99,1422.75,Employed,0.309,838,21977.7
28,Male,Married,PhD,47486.48,3957.21,Employed,0.305,556,21582.12
47,Male,Married,High School,46375.74,3864.64,Self-employed,0.234,720,17677.53
29,Male,Married,Bachelor's,64338.94,5361.58,Self-employed,0.106,738,22797.96
57,Female,Single,Bachelor's,38083.08,3173.59,Self-employed,0.109,703,7039.66
53,Female,Married,Master's,106994.72,8916.23,Employed,0.3,697,4183.43
71,Other,Married,Bachelor's,50256.76,4188.06,Employed,0.055,614,19712.38
62,Male,Married,Bachelor's,77277.21,6439.77,Employed,0.153,552,19504.32
64,Male,Married,Bachelor's,39854.95,3321.25,Employed,0.26,731,21135.25
44,Female,Single,Bachelor's,28811.88,2400.99,Employed,0.028,749,21523.89
35,Female,Single,High School,32660.17,2721.68,Employed,0.287,711,23465.6
74,Female,Divorced,Bachelor's,82729.14,6894.1,Employed,0.036,561,17704.32
52,Female,Married,Other,58492.86,4874.4,Unemployed,0.078,658,17937.89
52,Male,Single,Bachelor's,56391.97,4699.33,Student,0.091,647,32582.34
44,Female,Married,Bachelor's,65867.34,5488.94,Self-employed,0.181,498,18244.67
61,Female,Single,High School,42552.24,3546.02,Employed,0.06,666,6806.85
72,Female,Single,Master's,196687.87,16390.66,Retired,0.097,673,6127.73
69,Male,Married,High School,31742.96,2645.25,Student,0.145,812,19649.34
69,Male,Single,High School,38768.91,3230.74,Employed,0.165,711,15870.48
72,Male,Divorced,Bachelor's,27744.82,2312.07,Employed,0.255,573,13683.35
32,Female,Married,Bachelor's,48986.65,4082.22,Employed,0.281,648,12684.09
59,Male,Married,Other,12641.22,1053.44,Unemployed,0.11,707,13940.9
22,Male,Single,High School,6151.16,512.6,Employed,0.278,713,10442.12
23,Male,Single,Bachelor's,24636.36,2053.03,Employed,0.507,797,6555.36
69,Female,Single,High School,51547.03,4295.59,Employed,0.051,618,12229.77
57,Male,Married,Master's,67235.19,5602.93,Employed,0.11,766,4578.67
69,Female,Single,Bachelor's,17047.96,1420.66,Employed,0.172,640,7693.41
37,Male,Married,Bachelor's,13364.55,1113.71,Employed,0.047,571,13752.36
69,Male,Single,Bachelor's,23540.54,1961.71,Unemployed,0.442,609,13537.06
22,Female,Divorced,Bachelor's,23293.52,1941.13,Self-employed,0.264,687,16759.63
22,Male,Divorced,Bachelor's,41374.61,3447.88,Self-employed,0.151,631,25592.4
48,Male,Married,Bachelor's,39150.53,3262.54,Employed,0.06,779,9672.09
74,Male,Married,Bachelor's,87564.16,7297.01,Employed,0.191,781,19154.82
43,Female,Single,Bachelor's,28331,2360.92,Unemployed,0.113,748,31495.79
57,Female,Single,Master's,16352.55,1362.71,Self-employed,0.132,568,500
52,Male,Divorced,Bachelor's,43612.54,3634.38,Self-employed,0.218,690,12117.56
53,Male,Married,PhD,20344.71,1695.39,Retired,0.092,662,21528.89
21,Female,Single,High School,20535.74,1711.31,Student,0.299,669,20889.6
39,Female,Married,High School,100610.24,8384.19,Student,0.09,679,3750.73
22,Male,Divorced,Bachelor's,63471.04,5289.25,Employed,0.443,695,16207.69
73,Female,Single,High School,28116.4,2343.03,Unemployed,0.093,756,30033.22
64,Female,Single,Bachelor's,108368.29,9030.69,Retired,0.261,723,22274.57
46,Female,Divorced,High School,59750.65,4979.22,Self-employed,0.42,697,18788.72
52,Male,Married,Master's,45842.04,3820.17,Self-employed,0.038,678,22200.66
26,Male,Single,Bachelor's,24179.03,2014.92,Unemployed,0.195,519,14947.7
52,Male,Single,Bachelor's,10560.81,880.07,Employed,0.078,731,21651.67
75,Female,Married,Master's,21740.04,1811.67,Employed,0.323,652,4855.04
24,Female,Married,High School,27043.95,2253.66,Employed,0.077,606,18889.71
75,Male,Single,Master's,17710.85,1475.9,Retired,0.077,767,20818.55
31,Female,Single,Bachelor's,39114.83,3259.57,Employed,0.206,660,13948.61
37,Female,Single,High School,10689.43,890.79,Employed,0.242,759,9112.46
58,Other,Single,Master's,80681.2,6723.43,Self-employed,0.124,723,14614.48
44,Female,Single,Bachelor's,27600.85,2300.07,Self-employed,0.072,580,15137.82
25,Other,Single,Bachelor's,56587.53,4715.63,Unemployed,0.147,647,16547.13
72,Male,Single,PhD,56185.88,4682.16,Employed,0.181,571,12921.54
54,Female,Divorced,PhD,17316.67,1443.06,Employed,0.135,632,30927.56
26,Female,Single,PhD,12778.37,1064.86,Unemployed,0.362,842,4909.91
42,Male,Single,Bachelor's,24734.8,2061.23,Unemployed,0.187,693,12355.91
31,Male,Single,Master's,45491.97,3791,Employed,0.268,585,21421.9
68,Female,Married,High School,39418.79,3284.9,Employed,0.368,668,7116.86
36,Male,Single,Master's,73087.77,6090.65,Employed,0.246,684,13798.83
53,Female,Married,Bachelor's,45954.37,3829.53,Employed,0.069,555,13273.22
29,Male,Married,Bachelor's,48023.97,4002,Unemployed,0.161,665,25786.7
26,Male,Divorced,PhD,22356.85,1863.07,Employed,0.125,634,23569.49
36,Male,Married,Master's,31165.22,2597.1,Employed,0.314,648,14619.8
49,Male,Single,Other,31669.2,2639.1,Employed,0.034,711,9598.8
23,Female,Single,Bachelor's,52614.37,4384.53,Employed,0.111,653,12194.59
40,Female,Married,High School,57057.91,4754.83,Retired,0.145,730,21032.79
56,Male,Single,PhD,31588.21,2632.35,Self-employed,0.107,688,5479.33
39,Male,Single,Bachelor's,32215.86,2684.66,Employed,0.221,826,20649.26
46,Male,Widowed,PhD,44839.93,3736.66,Employed,0.328,674,10877.88
23,Male,Married,Master's,115805.52,9650.46,Employed,0.084,709,16004.14
39,Female,Married,Master's,12790.75,1065.9,Employed,0.15,629,17688.07
40,Male,Married,Bachelor's,20861.75,1738.48,Employed,0.218,606,22680.34
52,Male,Married,Master's,21377.69,1781.47,Employed,0.393,731,38690.96
27,Female,Married,High School,16488.21,1374.02,Employed,0.162,749,25984.33
72,Male,Single,Other,22531.91,1877.66,Unemployed,0.212,759,6196.65
61,Male,Widowed,High School,45531.04,3794.25,Retired,0.155,706,27849.99
53,Male,Single,High School,64054.09,5337.84,Employed,0.026,664,14496.15
60,Female,Married,Bachelor's,41694.21,3474.52,Self-employed,0.022,687,500
59,Female,Single,Master's,41193.52,3432.79,Student,0.203,688,25554.32
38,Female,Single,Master's,20925.12,1743.76,Employed,0.314,579,531.04
60,Male,Married,Bachelor's,7347.5,612.29,Retired,0.09,742,13897.7
21,Male,Single,Master's,45473.68,3789.47,Employed,0.221,603,11565.48
31,Female,Married,Master's,80843.44,6736.95,Employed,0.167,725,36185.1
48,Female,Married,Bachelor's,64542.14,5378.51,Employed,0.046,535,21649.71
45,Other,Married,Bachelor's,34316.57,2859.71,Self-employed,0.033,760,12306.29
70,Male,Single,Bachelor's,38041.56,3170.13,Retired,0.31,628,8651.47
43,Male,Single,Master's,84317.23,7026.44,Employed,0.17,676,14838.74
51,Female,Married,PhD,23917.34,1993.11,Employed,0.337,632,2084.59
50,Female,Single,High School,27673.99,2306.17,Employed,0.274,765,13090.43
62,Female,Single,High School,12330.78,1027.56,Employed,0.173,649,1347.53
55,Female,Married,High School,48007.33,4000.61,Employed,0.124,660,17169.77
27,Female,Married,Bachelor's,26905.76,2242.15,Unemployed,0.11,726,18848.04
36,Female,Married,Bachelor's,30352.18,2529.35,Employed,0.173,599,21971.19
46,Female,Single,Bachelor's,54678.45,4556.54,Employed,0.102,651,17705.67
68,Female,Married,Bachelor's,23131.44,1927.62,Employed,0.141,762,13597.79
72,Female,Married,Bachelor's,48954.47,4079.54,Employed,0.249,772,4906.79
69,Male,Married,High School,50499.72,4208.31,Employed,0.164,707,16190.06
22,Male,Married,Bachelor's,29247.04,2437.25,Employed,0.171,670,18700.69
21,Female,Married,High School,60087.89,5007.32,Employed,0.158,718,15705.54
68,Male,Married,Master's,34138.05,2844.84,Employed,0.092,707,7575.7
32,Female,Married,Bachelor's,55784.23,4648.69,Employed,0.106,641,18282.12
25,Male,Married,Bachelor's,25090.64,2090.89,Employed,0.152,663,28129.76
57,Male,Married,Bachelor's,51589.41,4299.12,Student,0.063,584,1533.22
52,Female,Married,Bachelor's,29350.66,2445.89,Retired,0.23,735,18609.75
75,Male,Married,Bachelor's,44407.86,3700.66,Employed,0.03,768,10559.73
29,Male,Single,High School,44890.84,3740.9,Employed,0.255,670,9377.75
61,Male,Single,Bachelor's,28589.73,2382.48,Employed,0.018,708,36881.15
55,Female,Married,High School,28090.82,2340.9,Employed,0.122,794,14742.15
39,Male,Married,Bachelor's,31974.03,2664.5,Employed,0.126,657,23928.15
68,Female,Single,Master's,37912.49,3159.37,Self-employed,0.171,731,23154.65
36,Male,Married,Bachelor's,51241.51,4270.13,Employed,0.215,706,5444.01
23,Female,Single,Master's,41873.51,3489.46,Retired,0.171,588,13337.44
40,Male,Married,High School,6008.56,500.71,Employed,0.43,787,500
44,Male,Married,High School,60674.7,5056.22,Employed,0.062,658,15990.06
74,Male,Married,High School,46254.12,3854.51,Employed,0.106,573,6970.75
53,Male,Single,High School,73622.69,6135.22,Student,0.04,705,19222.53
44,Female,Widowed,Bachelor's,60426.55,5035.55,Unemployed,0.067,483,26995.15
72,Male,Married,Bachelor's,28177.99,2348.17,Employed,0.11,537,6351.59
31,Male,Married,Master's,18031.96,1502.66,Employed,0.189,684,8452.24
69,Female,Married,Master's,107375.08,8947.92,Employed,0.336,712,4807.33
28,Male,Widowed,Bachelor's,78431.61,6535.97,Self-employed,0.31,679,21234.56
56,Male,Married,Bachelor's,56829.36,4735.78,Employed,0.044,645,24469.39
58,Female,Married,High School,22523.67,1876.97,Employed,0.044,715,3751.07
60,Female,Single,Bachelor's,16624.56,1385.38,Employed,0.466,749,500
40,Male,Married,High School,27980.83,2331.74,Employed,0.124,685,7537.81
55,Male,Married,Bachelor's,60833.93,5069.49,Employed,0.109,699,2293.49
68,Female,Married,Master's,8569.46,714.12,Employed,0.196,589,2999.99
45,Male,Single,Bachelor's,23484.91,1957.08,Employed,0.078,589,27446.56
55,Female,Single,High School,181082.71,15090.23,Unemployed,0.245,750,20116.78
45,Male,Married,Other,29326.6,2443.88,Self-employed,0.039,721,3391.3
49,Female,Married,High School,37141.11,3095.09,Employed,0.087,747,25168.4
38,Male,Married,PhD,35756.44,2979.7,Employed,0.028,641,17310.63
66,Female,Single,Master's,102195.42,8516.28,Self-employed,0.237,666,18136.73
38,Male,Single,Bachelor's,29919.38,2493.28,Unemployed,0.239,799,4329.68
22,Female,Single,High School,12358.49,1029.87,Employed,0.099,692,9783.86
74,Male,Single,Other,67395.35,5616.28,Employed,0.218,742,16248.95
55,Male,Single,Bachelor's,19120.82,1593.4,Self-employed,0.397,673,500
36,Female,Married,High School,14832.17,1236.01,Employed,0.05,772,15525.8
61,Female,Divorced,Bachelor's,90731.96,7561,Self-employed,0.28,791,4953.73
56,Female,Single,Bachelor's,56725.78,4727.15,Employed,0.063,811,17171.64
53,Male,Married,High School,29168.78,2430.73,Employed,0.142,757,17033.51
24,Female,Married,High School,72609.52,6050.79,Employed,0.13,591,25070.74
53,Male,Divorced,High School,65195.65,5432.97,Employed,0.294,615,28347.67
34,Female,Divorced,High School,24113.12,2009.43,Retired,0.09,736,24532.74
41,Female,Single,High School,40714.47,3392.87,Employed,0.037,494,500
68,Male,Single,High School,34060.02,2838.33,Employed,0.294,680,500
40,Female,Single,High School,24367.45,2030.62,Employed,0.371,650,880.89
28,Female,Married,High School,37289.01,3107.42,Employed,0.322,719,8363.75
27,Male,Married,Other,57579.19,4798.27,Employed,0.208,631,11641.23
23,Female,Single,Bachelor's,20729.23,1727.44,Employed,0.282,758,10051.54
